自动检测	auto
繁体中文	cht
中文	zh
英语	en
粤语	yue
文言文	wyw
日语	jp
韩语	kor
法语	fra
西班牙语	spa
泰语	th
阿拉伯语	ara
葡萄牙语	pt
德语	de
希腊语	el
荷兰语	nl
波兰语	pl
保加利亚语	bul
爱沙尼亚语	est
丹麦语	dan
芬兰语	fin
捷克语	cs
罗马尼亚语	rom
斯洛文尼亚语	slo
瑞典语	swe
匈牙利语	hu
越南语	vie
